rownames(topologies_DEGs_lipid_stress_data)	Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
63	ERG8	4.55587235282754	0.0167847470548148	0.023737216925921	YMR220W	S000004833	ORF	712316	713671	1	1356	XIII	ERGosterol biosynthesis	1356	Lipid metabolism-coding genes	315.170748264975	6	Non-Hub-Non-Bottleneck	NHNB	4
64	ERG9	2.15337779879378	0.040561380225155	0.057362454022986	YHR190W	S000001233	ORF	484845	486179	1	1335	VIII	ERGosterol biosynthesis	1335	Lipid metabolism-coding genes	1269.30755881704	16	Non-Hub-Non-Bottleneck	NHNB	28
65	ETR1	2.23526673100645	0.0563923382680636	0.0797508095926268	YBR026C	S000000230	ORF	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	1143	Lipid metabolism-coding genes	2.19677159078774	2	Non-Hub-Non-Bottleneck	NHNB	2
66	FAA2	3.02114638372379	0.354982139945358	0.50202055671095	YER015W	S000000817	ORF	184541	186775	1	2235	V	Fatty Acid Activation	2235	Lipid metabolism-coding genes	303.799115730188	12	Non-Hub-Non-Bottleneck	NHNB	1
67	FAA4	3.44220475390343	0.919628444874017	1.30055101908491	YMR246W	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085	Lipid metabolism-coding genes	1317.2004776667	17	Non-Hub-Non-Bottleneck	NHNB	1
68	FAS1	2.51871777240052	0.101252721550847	0.143192972044395	YKL182W	S000001665	ORF	100671	106826	1	6156	XI	Fatty Acid Synthetase	6156	Lipid metabolism-coding genes	3356.28293162044	20	Non-Hub-Bottleneck	NHB	13
69	FAS2	2.91555473844301	0.123493336848236	0.174645951833484	YPL231W	S000006152	ORF	108652	114315	1	5664	XVI	Fatty Acid Synthetase	5664	Lipid metabolism-coding genes	2735.77865782971	16	Non-Hub-Bottleneck	NHB	13
70	FIS1	4.38804406517229	0.345630554296471	0.4887954174566	YIL065C	S000001327	ORF	241308	241775	-1	468	IX	mitochondrial FISsion	468	Autophagy-coding genes	628.234130402552	11	Non-Hub-Non-Bottleneck	NHNB	4
71	FOX2	2.2561092723578	0.138432691749957	0.195773390148603	YKR009C	S000001717	ORF	454352	457054	-1	2703	XI	Fatty acid OXidation	2703	Lipid metabolism-coding genes	1627.17964443656	24	Non-Hub-Non-Bottleneck	NHNB	2
72	GCD7	2.2385600700469	0.107588441141674	0.152153032617135	YLR291C	S000004282	ORF	718317	719462	-1	1146	XII	General Control Derepressed	1146	Autophagy-coding genes	1282.93520447077	21	Non-Hub-Non-Bottleneck	NHNB	2
73	GCN4	2.26391249000858	0.12494718003799	0.176701996589998	YEL009C	S000000735	ORF	138918	139763	-1	846	V	General Control Nonderepressible	846	Autophagy-coding genes	6022.65756717607	41	Hub-Bottleneck	HB	4
74	GET1	2.41617076553345	0.00709087925158891	0.010028017606747	YGL020C	S000002988	ORF	457163	457870	-1	708	VII	Guided Entry of Tail-anchored proteins	708	Proteostasis-coding genes	224.496018906292	8	Non-Hub-Non-Bottleneck	NHNB	30
75	GET2	2.67549603286985	0.0957154426165832	0.135362077076916	YER083C	S000000885	ORF	326174	327031	-1	858	V	Guided Entry of Tail-anchored proteins	858	Proteostasis-coding genes	120.358802390467	4	Non-Hub-Non-Bottleneck	NHNB	30
76	GET3	3.67315106290574	0.0540975209766137	0.0765054478558901	YDL100C	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	Proteostasis-coding genes	5050.24984134544	36	Hub-Bottleneck	HB	4
77	GET4	2.64899766920278	0.109608274233823	0.155009507969782	YOR164C	S000005690	ORF	643394	644332	-1	939	XV	Guided Entry Tail-anchored proteins	939	Proteostasis-coding genes	534.637940348702	12	Non-Hub-Non-Bottleneck	NHNB	4
78	GLO4	2.29177667973648	0.201453709587046	0.284898568288371	YOR040W	S000005566	ORF	407064	407921	1	858	XV	GLyOxalase	858	Lipid metabolism-coding genes	299.541312204048	9	Non-Hub-Non-Bottleneck	NHNB	20
79	GPT2	2.28382477135465	0.00920838758340459	0.0130226266080388	YKR067W	S000001775	ORF	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	2232	Lipid metabolism-coding genes	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1
80	GRS1	2.83987412459615	0.0346102561206629	0.0489462936030479	YBR121C	S000000325	ORF	481364	483367	-1	2004	II	Glycyl-tRNA Synthase	2004	Lipid metabolism-coding genes	506.352786667467	14	Non-Hub-Non-Bottleneck	NHNB	2
81	GUT1	4.11617706445338	0.188589514927233	0.266705849731456	YHL032C	S000001024	ORF	36379	38508	-1	2130	VIII	Glycerol UTilization	2130	Lipid metabolism-coding genes	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1
82	HCH1	2.95136807506079	0.434277243870584	0.614160768111788	YNL281W	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	Proteostasis-coding genes	315.636363651631	6	Non-Hub-Non-Bottleneck	NHNB	1
83	HFD1	2.62320772761023	0.0685428344582697	0.0969342060943789	YMR110C	S000004716	ORF	490394	491992	-1	1599	XIII	Homolog of Fatty aldehyde Dehydrogenase	1599	Lipid metabolism-coding genes	6383.51432276259	41	Hub-Bottleneck	HB	9
84	HMG1	4.36986218824442	0.157811434742792	0.223179071310813	YML075C	S000004540	ORF	115734	118898	-1	3165	XIII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3165	Lipid metabolism-coding genes	967.680545945889	13	Non-Hub-Non-Bottleneck	NHNB	4
85	HMG2	2.19109252566806	0.168078286627688	0.237698592489308	YLR450W	S000004442	ORF	1032627	1035764	1	3138	XII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3138	Lipid metabolism-coding genes	619.756840243748	14	Non-Hub-Non-Bottleneck	NHNB	4
86	HSP104	2.37914322602835	0.0460799780026941	0.0651669298452639	YLL026W	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727	Proteostasis-coding genes	2144.85169162284	28	Hub-Bottleneck	HB	4
87	HSP26	4.43657761707139	0.0230553288613029	0.0326051587606264	YBR072W	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	Proteostasis-coding genes	58.4565974771271	3	Non-Hub-Non-Bottleneck	NHNB	2
88	HSP42	2.6890465645191	0.0174460331882225	0.0246724167443953	YDR171W	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	Proteostasis-coding genes	1584.9949006087	15	Non-Hub-Non-Bottleneck	NHNB	2
89	HSP60	2.49346979051299	0.0922447542074334	0.130453782457925	YLR259C	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719	Lipid metabolism-coding genes	5417.63409188641	53	Hub-Bottleneck	HB	3
90	HSP78	2.1597861151034	0.0537715443050908	0.0760444472260052	YDR258C	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	Lipid metabolism-coding genes	44.2333774513291	3	Non-Hub-Non-Bottleneck	NHNB	6
91	HSP82	2.31744065253499	0.0577246987506774	0.0816350518571093	YPL240C	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130	Proteostasis-coding genes	13503.9012731881	77	Hub-Bottleneck	HB	4
92	HSV2	2.19482173966135	0.188778055210369	0.266972485956921	YGR223C	S000003455	ORF	940869	942215	-1	1347	VII	Homologous with SVP1	1347	Autophagy-coding genes	555.079090906783	14	Non-Hub-Non-Bottleneck	NHNB	12
93	ICL2	2.61938199503935	0.0434282796455239	0.0614168620652313	YPR006C	S000006210	ORF	567269	568996	-1	1728	XVI	IsoCitrate Lyase	1728	Lipid metabolism-coding genes	279.286597780781	8	Non-Hub-Non-Bottleneck	NHNB	9
94	ICT1	2.77876438991049	0.194400923354932	0.274924422346397	YLR099C	S000004089	ORF	339744	340928	-1	1185	XII	Increased Copper Tolerance	1185	Lipid metabolism-coding genes	19.0238671227894	2	Non-Hub-Non-Bottleneck	NHNB	16
95	IDH1	2.44378686140112	0.268931786083479	0.380326979232475	YNL037C	S000004982	ORF	557920	559002	-1	1083	XIV	Isocitrate DeHydrogenase	1083	Lipid metabolism-coding genes	3437.48522844361	55	Hub-Bottleneck	HB	3
96	IDH2	3.11510695167453	0.0748873291065175	0.105906676472335	YOR136W	S000005662	ORF	580250	581359	1	1110	XV	Isocitrate DeHydrogenase	1110	Lipid metabolism-coding genes	2160.34598582385	32	Hub-Bottleneck	HB	9
97	IDP3	2.44571659882146	0.109461246331267	0.15480157911594	YNL009W	S000004954	ORF	614821	616083	1	1263	XIV	Isocitrate Dehydrogenase, NADP-dependent	1263	Lipid metabolism-coding genes	469.005084154605	16	Non-Hub-Non-Bottleneck	NHNB	9
98	IFA38	2.34604978592623	0.243787454426233	0.344767524385991	YBR159W	S000000363	ORF	558685	559728	1	1044	II		1044	Lipid metabolism-coding genes	2054.35851606892	17	Non-Hub-Bottleneck	NHB	4
99	INO1	2.76339267842505	0.0951786878694953	0.134602991233916	YJL153C	S000003689	ORF	134332	135933	-1	1602	X	INOsitol requiring	1602	Lipid metabolism-coding genes	1403.76968838847	12	Non-Hub-Non-Bottleneck	NHNB	4
100	IRC25	2.36516481019728	0.0668016323007554	0.0944717743883889	YLR021W	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540	Proteostasis-coding genes	39.4032143346499	4	Non-Hub-Non-Bottleneck	NHNB	4
101	ISA2	2.21572117117576	0.0401073815007058	0.0567204028695699	YPR067W	S000006271	ORF	682220	682777	1	558	XVI	Iron Sulfur Assembly	558	Lipid metabolism-coding genes	270.821997079782	5	Non-Hub-Non-Bottleneck	NHNB	2
102	ISM1	2.21375679677541	0.0972219577558029	0.137492611218721	YPL040C	S000005961	ORF	475993	479001	-1	3009	XVI	Isoleucyl tRNA Synthetase of Mitochondria	3009	Lipid metabolism-coding genes	63.188738615637	4	Non-Hub-Non-Bottleneck	NHNB	4
103	ISU1	3.20279517659799	0.216117199627406	0.305635874775171	YPL135W	S000006056	ORF	297553	298050	1	498	XVI	IScU homolog	498	Lipid metabolism-coding genes	341.27727718727	9	Non-Hub-Non-Bottleneck	NHNB	2
104	JAC1	2.04493561699658	0.00920408810635842	0.013016546229289	YGL018C	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	Lipid metabolism-coding genes	1184.42764675982	29	Hub-Non-Bottleneck	HNB	3
105	KAR2	2.78644808225332	0.171755974766289	0.242899628933097	YJL034W	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	Proteostasis-coding genes	3747.56640599325	31	Hub-Bottleneck	HB	6
106	LAT1	2.73565701166971	0.00816609526121037	0.0115486026700344	YNL071W	S000005015	ORF	491523	492971	1	1449	XIV		1449	Lipid metabolism-coding genes	4110.80832755397	40	Hub-Bottleneck	HB	9
107	MDH1	2.28250755116607	0.0452171020484289	0.0639466389680964	YKL085W	S000001568	ORF	279123	280127	1	1005	XI	Malate DeHydrogenase	1005	Lipid metabolism-coding genes	1262.0651420018	23	Non-Hub-Non-Bottleneck	NHNB	9
108	MDH3	3.13979842923902	0.0256158617978401	0.0362262991663804	YDL078C	S000002236	ORF	315357	316388	-1	1032	IV	Malate DeHydrogenase	1032	Lipid metabolism-coding genes	796.892438651616	22	Non-Hub-Non-Bottleneck	NHNB	9
109	MDJ1	2.84968558583358	0.0166018081244323	0.0234785022094881	YFL016C	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	Lipid metabolism-coding genes	752.485294525061	8	Non-Hub-Non-Bottleneck	NHNB	7
110	MGA2	2.48878750717586	0.119247650639914	0.168641644816095	YIR033W	S000001472	ORF	416124	419465	1	3342	IX	Multicopy suppressor of GAm1 (snf2)	3342	Lipid metabolism-coding genes	171.524223903371	9	Non-Hub-Non-Bottleneck	NHNB	4
111	MGR2	3.35670809582449	0.447762674625149	0.633232047179336	YPL098C	S000006019	ORF	364386	364727	-1	342	XVI	Mitochondrial Genome Required	342	Proteostasis-coding genes	231.841011704576	9	Non-Hub-Non-Bottleneck	NHNB	3
112	MOT3	2.51848452053318	0.146553556386126	0.207258027055269	YMR070W	S000004674	ORF	409154	410626	1	1473	XIII	Modifier of Transcription	1473	Lipid metabolism-coding genes	2850.16163679999	16	Non-Hub-Bottleneck	NHB	4
