rownames(lipid_standardization_results_omics_attributes_b)	Feature	Main.class	combined_score	Gene	Mean_FC_12_6	Mean_FC_20_6	meta_logFC	node_type_abbrev	Cluster	Condition	Expression_data	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length
33	LRO1	Fatty esters	0.9	YNR008W	0.594741729135738	0.352734878964333	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	HFA1	Fatty esters	0.994	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	CIT1	TCA acids	0.9	YNR001C	2.80251705402884	9.85311939419777	2.40985024301377	HB	Cluster 3	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.258448182294821	0.36550092457201	YNR001C	S000005284	ORF	629622	631061	-1	1440	XIV	CITrate synthase	1440
36	ERG1	Isoprenoids	0.9	YGR175C	1.07961756252842	0.620055496740893	2.29559144080144	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.236614641649479	0.334623635276742	YGR175C	S000003407	ORF	846933	848423	-1	1491	VII	ERGosterol biosynthesis	1491
37	ERG7	Isoprenoids	0.9	YHR072W	0.814422281025394	0.83312110369665	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	ERG9	Isoprenoids	0.9	YHR190W	1.27726991147146	1.15321518718851	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	TGL4	Glycerophosphocholines	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	LRO1	Glycerophosphocholines	0.9	YNR008W	0.594741729135738	0.352734878964333	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	POX1	Flavins	0.92	YGL205W	1.00704877985915	9.80637178875992	2.51526723711918	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247
42	FAT1	Fatty acids	0.9	YBR041W	1.03826536119151	1.01284221593046	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	SLC1	Fatty acids	0.9	YDL052C	0.922886047536933	0.88688068914441	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	OLE1	Fatty acids	0.9	YGL055W	0.215950451379999	0.283657703951933	2.12325448090736	HB	Cluster 4	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.00691406581912846	0.0097779656525517	YGL055W	S000003023	ORF	398628	400160	1	1533	VII	OLEic acid requiring	1533
45	POX1	Fatty acids	0.9	YGL205W	1.00704877985915	9.80637178875992	2.51526723711918	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247
46	YJU3	Fatty acids	0.9	YKL094W	1.2306373921133	1.41530510452573	2.89454306971801	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.315107388172261	0.445629141957174	YKL094W	S000001577	ORF	263349	264290	1	942	XI		942
47	TGL4	Fatty acids	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	LOA1	Fatty acids	0.9	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	POT1	Fatty acids	0.9	YIL160C	4.00142762037055	19.7535021611952	3.20850209212166	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.139332510972965	0.197045926697465	YIL160C	S000001422	ORF	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	1254
50	TGL4	Isoprenoids	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	FAT1	Fatty esters	0.9	YBR041W	1.03826536119151	1.01284221593046	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	POX1	Fatty esters	0.956	YGL205W	1.00704877985915	9.80637178875992	2.51526723711918	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247
53	LIP5	Fatty esters	0.9	YOR196C	0.898498172626215	1.14176717938889	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	LSC2	TCA acids	0.9	YGR244C	3.23898702110249	5.96261736421099	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	ERG4	Sterols	0.9	YGL012W	0.758428750007285	0.745621547974142	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	TGL4	Organic phosphoric acids	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	ROT2	Piperidines	0.911	YBR229C	0.983997762298741	0.983843951924561	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	ALD4	Amino acids and peptides	0.9	YOR374W	1.76611042158097	6.96283816507421	2.29824594323321	HB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560
59	ERG24	Sterols	0.9	NA	NA	NA	2.39156934559225	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in transcriptome	0.316397975222974	0.447454307667717	YNL280C	S000005224	ORF	109095	110411	-1	1317	XIV	ERGosterol biosynthesis	1317
60	HMG1	Fatty acids	0.969	YML075C	0.699336124068739	0.670909685426645	4.36986218824442	NHNB	Cluster 4	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.157811434742792	0.223179071310813	YML075C	S000004540	ORF	115734	118898	-1	3165	XIII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3165
61	ALD4	Monosaccharides	0.9	YOR374W	1.76611042158097	6.96283816507421	2.29824594323321	HB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560
62	ERG27	Glycosyl compounds	0.9	YLR100W	0.836218323141326	0.549236272639575	4.05001101753348	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0784123074648817	0.110891748673805	YLR100W	S000004090	ORF	341810	342853	1	1044	XII	ERGosterol biosynthesis	1044
63	ERG6	Glycosyl compounds	0.974	YML008C	0.84998480352287	0.767009839235851	3.7664537085982	HB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0131630676635583	0.0186153888122389	YML008C	S000004467	ORF	251839	252990	-1	1152	XIII	ERGosterol biosynthesis	1152
64	ERG2	Glycosyl compounds	0.9	YMR202W	0.848880355853795	0.72777380284571	2.84641535160781	NHB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0614807989036252	0.0869469796350397	YMR202W	S000004815	ORF	667537	668205	1	669	XIII	ERGosterol biosynthesis	669
65	ERG1	Sterols	0.9	YGR175C	1.07961756252842	0.620055496740893	2.29559144080144	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.236614641649479	0.334623635276742	YGR175C	S000003407	ORF	846933	848423	-1	1491	VII	ERGosterol biosynthesis	1491
66	ERG7	Sterols	0.993	YHR072W	0.814422281025394	0.83312110369665	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	FAT1	Bile acids	0.9	YBR041W	1.03826536119151	1.01284221593046	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	GPX2	Amino acids and peptides	0.9	YBR244W	1.02488445089346	0.767491991621453	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	URE2	Amino acids and peptides	0.979	YNL229C	0.960996442393024	1.26782863185041	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	ERG10	Fatty esters	0.9	YPL028W	0.913283619311552	0.858862400661299	4.91695785892685	NHNB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0342987601229332	0.0485057717384336	YPL028W	S000005949	ORF	498096	499292	1	1197	XVI	ERGosterol biosynthesis	1197
71	DPL1	Sphingoid bases	0.9	YDR294C	1.12803196229781	1.23296042506017	2.29957119572367	NHNB	Cluster 6	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.163435612083148	0.231132859182736	YDR294C	S000002702	ORF	1050459	1052228	-1	1770	IV	Dihydrosphingosine Phosphate Lyase	1770
72	SUR2	Sphingoid bases	0.9	YDR297W	0.938317028287399	1.0584666347146	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	LCB5	Sphingoid bases	0.9	YLR260W	1.07723623033657	1.31264225066845	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	ADH7	Monosaccharides	0.9	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	ACS1	Fatty esters	0.9	YAL054C	1.04412056419209	20.5872351017362	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	PAH1	Fatty esters	0.9	YMR165C	0.959784301765703	1.34883569303447	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	LCB1	Sphingoid bases	0.9	YMR296C	0.795982275058021	0.798307121778971	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	HFA1	Amino acids and peptides	0.918	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	ERG6	Glycosyl compounds	0.9	YML008C	0.84998480352287	0.767009839235851	3.7664537085982	HB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0131630676635583	0.0186153888122389	YML008C	S000004467	ORF	251839	252990	-1	1152	XIII	ERGosterol biosynthesis	1152
80	LIP5	Glycosyl compounds	0.9	YOR196C	0.898498172626215	1.14176717938889	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	GLT1	Amino acids and peptides	0.9	YDL171C	0.861406691075253	0.882277999706075	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	FAT1	Isoprenoids	0.9	YBR041W	1.03826536119151	1.01284221593046	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	SPO14	Pyrimidines	0.9	YKR031C	0.651423172248391	0.914303980753103	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84	LIP5	Amino acids and peptides	0.9	YOR196C	0.898498172626215	1.14176717938889	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	TGL4	Triradylglycerols	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
86	TGL4	Sterols	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	FAS1	Fatty acids	0.9	YKL182W	1.04047185465299	0.958811661819462	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88	HFA1	Guanidines	0.944	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	HMG1	Fatty acids	0.909	YML075C	0.699336124068739	0.670909685426645	4.36986218824442	NHNB	Cluster 4	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.157811434742792	0.223179071310813	YML075C	S000004540	ORF	115734	118898	-1	3165	XIII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3165
90	FMS1	Amines	0.979	YMR020W	2.16569806728393	2.64953175947493	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	ANB1	Amines	0.9	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	LAT1	Fatty amides	0.9	YNL071W	1.36797726524304	1.51470259834428	2.73565701166971	HB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.00816609526121037	0.0115486026700344	YNL071W	S000005015	ORF	491523	492971	1	1449	XIV		1449
93	FMS1	Fatty amines	0.9	YMR020W	2.16569806728393	2.64953175947493	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	SPO14	Cholines	0.9	YKR031C	0.651423172248391	0.914303980753103	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	LCB5	Cholines	0.9	YLR260W	1.07723623033657	1.31264225066845	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	CDC19	Short-chain acids	0.953	YAL038W	1.09244638333335	0.922800011722307	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	CIT1	TCA acids	0.969	YNR001C	2.80251705402884	9.85311939419777	2.40985024301377	HB	Cluster 3	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.258448182294821	0.36550092457201	YNR001C	S000005284	ORF	629622	631061	-1	1440	XIV	CITrate synthase	1440
98	FMS1	Carboxylic acids	0.958	YMR020W	2.16569806728393	2.64953175947493	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	TOR1	Alcohols and polyols	0.9	YJR066W	0.744113561160785	0.578868154303484	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
100	LSC2	Fatty amides	0.9	YGR244C	3.23898702110249	5.96261736421099	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
101	LSC2	Fatty acids	0.9	YGR244C	3.23898702110249	5.96261736421099	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
102	PDI1	Monosaccharides	0.904	YCL043C	1.27106921583956	1.19572865439762	2.92869041082418	NHB	Cluster 2	Proteostasis-coding genes	Expressed in proteome and transcriptome	0.112238641912414	0.158729409614873	YCL043C	S000000548	ORF	48653	50221	-1	1569	III	Protein Disulfide Isomerase	1569
103	ADH7	Monosaccharides	0.952	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104	GPP1	Monosaccharides	0.962	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	YJU3	Monosaccharides	0.991	YKL094W	1.2306373921133	1.41530510452573	2.89454306971801	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.315107388172261	0.445629141957174	YKL094W	S000001577	ORF	263349	264290	1	942	XI		942
106	SPO14	Monosaccharides	0.9	YKR031C	0.651423172248391	0.914303980753103	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	GPD2	Monosaccharides	0.963	YOL059W	0.629421684452233	0.683043829197423	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	HSP82	Monosaccharides	0.973	YPL240C	1.4607391909135	1.32670117518095	2.31744065253499	HB	Cluster 4	Proteostasis-coding genes	Expressed in proteome and transcriptome	0.0577246987506774	0.0816350518571093	YPL240C	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130
109	ALD4	Fatty aldehydes	0.9	YOR374W	1.76611042158097	6.96283816507421	2.29824594323321	HB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560
110	LIP5	Fatty acids	0.9	YOR196C	0.898498172626215	1.14176717938889	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	ALD4	Fatty acids	0.9	YOR374W	1.76611042158097	6.96283816507421	2.29824594323321	HB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560
112	FMS1	Amino acids and peptides	0.9	YMR020W	2.16569806728393	2.64953175947493	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
113	GLT1	TCA acids	0.996	YDL171C	0.861406691075253	0.882277999706075	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
114	LEU4	Fatty acids	0.954	YNL104C	1.01063761795165	1.64006651046585	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	ACB1	NA	NA	NA	NA	NA	3.73420085304102	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0194500469544137	0.0275065201917253	YGR037C	S000003269	ORF	559731	559994	-1	264	VII	Acyl-CoA-Binding	264
116	ACC1	NA	NA	NA	NA	NA	3.13653003330877	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.160045423950225	0.22633840914616	YNR016C	S000005299	ORF	654673	661374	-1	6702	XIV	Acetyl-CoA Carboxylase	6702
117	ACH1	NA	NA	NA	NA	NA	2.59521321006849	NA	NA	Lipid metabolism-coding genes	Expressed in transcriptome	0.0665561661689824	0.0941246328557323	YBL015W	S000000111	ORF	194122	195702	1	1581	II	Acetyl CoA Hydrolase	1581
118	ACL4	NA	NA	NA	NA	NA	2.50041110927051	NA	NA	Proteostasis-coding genes	Expressed in transcriptome	0.486936459868545	0.688632145560038	YDR161W	S000002568	ORF	779043	780206	1	1164	IV	Assembly Chaperone of RpL4	1164
