Feature	Genes	SGD_name	gene_biotype	meta_logFC	SE	SD	start_position	end_position	strand	length	chromosome_name	Feature_definition	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster	Condition	Cluster_number
CHO2	YGR157W	S000003389	ORF	2.50256183836614	0.139405611346532	0.197149306237178	802440	805049	1	2610	VII	CHOline requiring	GO:0097164	Ammonium ion metabolic process	10/56	32/5800	1.66228008480096e-13	3.25611334258071e-12	2.66582378924737e-12	10	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:0044262	Cellular carbohydrate metabolic process	9/56	196/5800	9.1418266680249e-05	0.000895361258956557	0.000733044305578468	9	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:0046164	Alcohol catabolic process	3/56	16/5800	0.000436820212527805	0.00323246957270576	0.00264646631683513	3	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:1901615	Organic hydroxy compound metabolic process	7/56	139/5800	0.000339450703430125	0.00269135914862457	0.00220345193454643	7	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:0019751	Polyol metabolic process	7/56	33/5800	1.87093932582417e-08	2.39624152115173e-07	1.96183516351603e-07	7	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:0006071	Glycerol metabolic process	6/56	14/5800	1.74225024998222e-09	2.63713333292763e-08	2.15905652988227e-08	6	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
GUT1	YHL032C	S000001024	ORF	4.11617706445338	0.188589514927233	0.266705849731456	36379	38508	-1	2130	VIII	Glycerol UTilization	GO:1901616	Organic hydroxy compound catabolic process	3/56	20/5800	0.000865214858225551	0.00613013931466188	0.0050188275090799	3	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	Lipid metabolism-coding genes	NA
OPI3	YJR073C	S000003834	ORF	3.48867644350492	2.97613121142959e-05	4.20888512260559e-05	572315	572935	-1	621	X	OverProducer of Inositol	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	861.969429896217	18	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
OPI3	YJR073C	S000003834	ORF	3.48867644350492	2.97613121142959e-05	4.20888512260559e-05	572315	572935	-1	621	X	OverProducer of Inositol	GO:0097164	Ammonium ion metabolic process	10/56	32/5800	1.66228008480096e-13	3.25611334258071e-12	2.66582378924737e-12	10	861.969429896217	18	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
OPI3	YJR073C	S000003834	ORF	3.48867644350492	2.97613121142959e-05	4.20888512260559e-05	572315	572935	-1	621	X	OverProducer of Inositol	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	861.969429896217	18	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
YJU3	YKL094W	S000001577	ORF	2.89454306971801	0.315107388172261	0.445629141957174	263349	264290	1	942	XI		GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	480.350922801415	14	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GPT2	YKR067W	S000001775	ORF	2.28382477135465	0.00920838758340459	0.0130226266080388	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	GO:0072527	Pyrimidine-containing compound metabolic process	5/56	51/5800	0.000117193993905235	0.00105474594514712	0.000863534691933311	5	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GPT2	YKR067W	S000001775	ORF	2.28382477135465	0.00920838758340459	0.0130226266080388	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	GO:0072528	Pyrimidine-containing compound biosynthetic process	5/56	47/5800	7.88072065520669e-05	0.000807890256183578	0.000661430619097666	5	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GPT2	YKR067W	S000001775	ORF	2.28382477135465	0.00920838758340459	0.0130226266080388	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GPT2	YKR067W	S000001775	ORF	2.28382477135465	0.00920838758340459	0.0130226266080388	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GPT2	YKR067W	S000001775	ORF	2.28382477135465	0.00920838758340459	0.0130226266080388	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	GO:0006220	Pyrimidine nucleotide metabolic process	5/56	26/5800	3.94310238706588e-06	4.37684364964312e-05	3.58338076578969e-05	5	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
GPT2	YKR067W	S000001775	ORF	2.28382477135465	0.00920838758340459	0.0130226266080388	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	GO:0006221	Pyrimidine nucleotide biosynthetic process	5/56	26/5800	3.94310238706588e-06	4.37684364964312e-05	3.58338076578969e-05	5	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
PLB2	YMR006C	S000004608	ORF	2.07242716110082	0.0209907289733668	0.0296853735982333	277561	279681	-1	2121	XIII	PhosphoLipase B	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	5.3663769382199	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
PLB2	YMR006C	S000004608	ORF	2.07242716110082	0.0209907289733668	0.0296853735982333	277561	279681	-1	2121	XIII	PhosphoLipase B	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	5.3663769382199	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
FAA4	YMR246W	S000004860	ORF	3.44220475390343	0.919628444874017	1.30055101908491	759807	761891	1	2085	XIII	Fatty Acid Activation	GO:0010876	Lipid localization	6/56	76/5800	8.00611965587329e-05	0.000807890256183578	0.000661430619097666	6	1317.2004776667	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
FAA4	YMR246W	S000004860	ORF	3.44220475390343	0.919628444874017	1.30055101908491	759807	761891	1	2085	XIII	Fatty Acid Activation	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	1317.2004776667	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
FAA4	YMR246W	S000004860	ORF	3.44220475390343	0.919628444874017	1.30055101908491	759807	761891	1	2085	XIII	Fatty Acid Activation	GO:0015718	Monocarboxylic acid transport	3/56	25/5800	0.00168694270019014	0.011464324880884	0.00938599697850154	3	1317.2004776667	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
ALE1	YOR175C	S000005701	ORF	2.55005149452183	0.0782054574634652	0.110599218596425	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	1860.21231591626	30	Hub-Bottleneck	HB	1	Cluster 1	Lipid metabolism-coding genes	NA
ALE1	YOR175C	S000005701	ORF	2.55005149452183	0.0782054574634652	0.110599218596425	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	1860.21231591626	30	Hub-Bottleneck	HB	1	Cluster 1	Lipid metabolism-coding genes	NA
BOL1	YAL044W-A	S000007586	ORF	2.03794616505206	0.000900043045977572	0.00127285308234107	57518	57850	1	333	I	BolA-like protein	GO:0016226	Iron-sulfur cluster assembly	11/153	22/5800	1.652017854857e-12	1.52169200186273e-10	1.11487052895028e-10	11	57.6326687192558	6	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
BOL1	YAL044W-A	S000007586	ORF	2.03794616505206	0.000900043045977572	0.00127285308234107	57518	57850	1	333	I	BolA-like protein	GO:0051186	Cofactor metabolic process	31/153	262/5800	6.51454119381777e-13	7.71507807096419e-11	5.65246656967346e-11	31	57.6326687192558	6	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
BOL1	YAL044W-A	S000007586	ORF	2.03794616505206	0.000900043045977572	0.00127285308234107	57518	57850	1	333	I	BolA-like protein	GO:0031163	Metallo-sulfur cluster assembly	11/153	22/5800	1.652017854857e-12	1.52169200186273e-10	1.11487052895028e-10	11	57.6326687192558	6	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
ETR1	YBR026C	S000000230	ORF	2.23526673100645	0.0563923382680636	0.0797508095926268	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	GO:0019752	Carboxylic acid metabolic process	53/153	430/5800	3.57362593064526e-23	2.96253589650492e-20	2.17050753892875e-20	53	2.19677159078774	2	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
ETR1	YBR026C	S000000230	ORF	2.23526673100645	0.0563923382680636	0.0797508095926268	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	2.19677159078774	2	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
ETR1	YBR026C	S000000230	ORF	2.23526673100645	0.0563923382680636	0.0797508095926268	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	GO:0044283	Small molecule biosynthetic process	37/153	391/5800	2.84417466407711e-12	2.14347345138175e-10	1.57041988628947e-10	37	2.19677159078774	2	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
PDI1	YCL043C	S000000548	ORF	2.92869041082418	0.112238641912414	0.158729409614873	48653	50221	-1	1569	III	Protein Disulfide Isomerase	GO:0019725	Cellular homeostasis	19/153	224/5800	5.45225811080356e-06	6.64694407920022e-05	4.86989617636788e-05	19	3019.99060439258	25	Non-Hub-Bottleneck	NHB	2	Cluster 2	Proteostasis-coding genes	NA
PDI1	YCL043C	S000000548	ORF	2.92869041082418	0.112238641912414	0.158729409614873	48653	50221	-1	1569	III	Protein Disulfide Isomerase	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	3019.99060439258	25	Non-Hub-Bottleneck	NHB	2	Cluster 2	Proteostasis-coding genes	NA
PDI1	YCL043C	S000000548	ORF	2.92869041082418	0.112238641912414	0.158729409614873	48653	50221	-1	1569	III	Protein Disulfide Isomerase	GO:1901135	Carbohydrate derivative metabolic process	25/153	387/5800	2.21227023200254e-05	0.000228560343590265	0.000167455168880176	25	3019.99060439258	25	Non-Hub-Bottleneck	NHB	2	Cluster 2	Proteostasis-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0006879	Cellular iron ion homeostasis	9/153	48/5800	3.40231287924094e-06	4.77154954419549e-05	3.49588481620316e-05	9	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0006575	Cellular modified amino acid metabolic process	8/153	64/5800	0.00024685220806331	0.00169124364036763	0.00123909285822122	8	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0016226	Iron-sulfur cluster assembly	11/153	22/5800	1.652017854857e-12	1.52169200186273e-10	1.11487052895028e-10	11	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0019725	Cellular homeostasis	19/153	224/5800	5.45225811080356e-06	6.64694407920022e-05	4.86989617636788e-05	19	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0055072	Iron ion homeostasis	10/153	61/5800	3.45347373524402e-06	4.77154954419549e-05	3.49588481620316e-05	10	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0031163	Metallo-sulfur cluster assembly	11/153	22/5800	1.652017854857e-12	1.52169200186273e-10	1.11487052895028e-10	11	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
YFH1	YDL120W	S000002278	ORF	2.63475950264186	0.408912155782973	0.5782891165275	245923	246447	1	525	IV	Yeast Frataxin Homolog	GO:0051186	Cofactor metabolic process	31/153	262/5800	6.51454119381777e-13	7.71507807096419e-11	5.65246656967346e-11	31	4222.46636651293	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
CTA1	YDR256C	S000002664	ORF	3.27229498899622	0.0668761023258768	0.0945770909079059	968133	969680	-1	1548	IV	CaTalase A	GO:0051186	Cofactor metabolic process	31/153	262/5800	6.51454119381777e-13	7.71507807096419e-11	5.65246656967346e-11	31	4628.02689044575	33	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
CTA1	YDR256C	S000002664	ORF	3.27229498899622	0.0668761023258768	0.0945770909079059	968133	969680	-1	1548	IV	CaTalase A	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	4628.02689044575	33	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
CTA1	YDR256C	S000002664	ORF	3.27229498899622	0.0668761023258768	0.0945770909079059	968133	969680	-1	1548	IV	CaTalase A	GO:0042542	Response to hydrogen peroxide	4/153	16/5800	0.000661552310619565	0.00391733475359728	0.00287004273103375	4	4628.02689044575	33	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
POX1	YGL205W	S000003173	ORF	2.51526723711918	0.0106737874451608	0.0150950149668341	108158	110404	1	2247	VII		GO:0044282	Small molecule catabolic process	16/153	141/5800	7.07592266879513e-07	1.36417206800725e-05	9.99463250892237e-06	16	4000.36061848677	28	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
POX1	YGL205W	S000003173	ORF	2.51526723711918	0.0106737874451608	0.0150950149668341	108158	110404	1	2247	VII		GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	4000.36061848677	28	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
POX1	YGL205W	S000003173	ORF	2.51526723711918	0.0106737874451608	0.0150950149668341	108158	110404	1	2247	VII		GO:0019752	Carboxylic acid metabolic process	53/153	430/5800	3.57362593064526e-23	2.96253589650492e-20	2.17050753892875e-20	53	4000.36061848677	28	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
NCP1	YHR042W	S000001084	ORF	2.29624982479018	0.0794585830320153	0.112371405770825	190543	192618	1	2076	VIII	NADP-Cytochrome P450 reductase	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	6695.66558770215	31	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
NCP1	YHR042W	S000001084	ORF	2.29624982479018	0.0794585830320153	0.112371405770825	190543	192618	1	2076	VIII	NADP-Cytochrome P450 reductase	GO:0044283	Small molecule biosynthetic process	37/153	391/5800	2.84417466407711e-12	2.14347345138175e-10	1.57041988628947e-10	37	6695.66558770215	31	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
POT1	YIL160C	S000001422	ORF	3.20850209212166	0.139332510972965	0.197045926697465	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	6394.90069574265	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
POT1	YIL160C	S000001422	ORF	3.20850209212166	0.139332510972965	0.197045926697465	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	GO:0044282	Small molecule catabolic process	16/153	141/5800	7.07592266879513e-07	1.36417206800725e-05	9.99463250892237e-06	16	6394.90069574265	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
POT1	YIL160C	S000001422	ORF	3.20850209212166	0.139332510972965	0.197045926697465	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	GO:0019752	Carboxylic acid metabolic process	53/153	430/5800	3.57362593064526e-23	2.96253589650492e-20	2.17050753892875e-20	53	6394.90069574265	40	Hub-Bottleneck	HB	2	Cluster 2	Lipid metabolism-coding genes	NA
TES1	YJR019C	S000003780	ORF	2.31304243101487	0.145030181117809	0.205103649090231	467232	468281	-1	1050	X	ThioESterase	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	1365.59841821316	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
TES1	YJR019C	S000003780	ORF	2.31304243101487	0.145030181117809	0.205103649090231	467232	468281	-1	1050	X	ThioESterase	GO:0019752	Carboxylic acid metabolic process	53/153	430/5800	3.57362593064526e-23	2.96253589650492e-20	2.17050753892875e-20	53	1365.59841821316	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
TES1	YJR019C	S000003780	ORF	2.31304243101487	0.145030181117809	0.205103649090231	467232	468281	-1	1050	X	ThioESterase	GO:1901135	Carbohydrate derivative metabolic process	25/153	387/5800	2.21227023200254e-05	0.000228560343590265	0.000167455168880176	25	1365.59841821316	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
TES1	YJR019C	S000003780	ORF	2.31304243101487	0.145030181117809	0.205103649090231	467232	468281	-1	1050	X	ThioESterase	GO:0044282	Small molecule catabolic process	16/153	141/5800	7.07592266879513e-07	1.36417206800725e-05	9.99463250892237e-06	16	1365.59841821316	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
TES1	YJR019C	S000003780	ORF	2.31304243101487	0.145030181117809	0.205103649090231	467232	468281	-1	1050	X	ThioESterase	GO:0051186	Cofactor metabolic process	31/153	262/5800	6.51454119381777e-13	7.71507807096419e-11	5.65246656967346e-11	31	1365.59841821316	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
FOX2	YKR009C	S000001717	ORF	2.2561092723578	0.138432691749957	0.195773390148603	454352	457054	-1	2703	XI	Fatty acid OXidation	GO:0044282	Small molecule catabolic process	16/153	141/5800	7.07592266879513e-07	1.36417206800725e-05	9.99463250892237e-06	16	1627.17964443656	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
FOX2	YKR009C	S000001717	ORF	2.2561092723578	0.138432691749957	0.195773390148603	454352	457054	-1	2703	XI	Fatty acid OXidation	GO:0055114	Oxidation-reduction process	36/153	452/5800	8.6595242988198e-10	4.01200609351736e-08	2.93940386763953e-08	36	1627.17964443656	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
FOX2	YKR009C	S000001717	ORF	2.2561092723578	0.138432691749957	0.195773390148603	454352	457054	-1	2703	XI	Fatty acid OXidation	GO:0019752	Carboxylic acid metabolic process	53/153	430/5800	3.57362593064526e-23	2.96253589650492e-20	2.17050753892875e-20	53	1627.17964443656	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	Lipid metabolism-coding genes	NA
