Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition
HSV2	2.19482173966135	0.188778055210369	0.266972485956921	YGR223C	S000003455	ORF	940869	942215	-1	1347	VII	Homologous with SVP1	1347	Autophagy-coding genes
ICL2	2.61938199503935	0.0434282796455239	0.0614168620652313	YPR006C	S000006210	ORF	567269	568996	-1	1728	XVI	IsoCitrate Lyase	1728	Lipid metabolism-coding genes
ICT1	2.77876438991049	0.194400923354932	0.274924422346397	YLR099C	S000004089	ORF	339744	340928	-1	1185	XII	Increased Copper Tolerance	1185	Lipid metabolism-coding genes
IDH1	2.44378686140112	0.268931786083479	0.380326979232475	YNL037C	S000004982	ORF	557920	559002	-1	1083	XIV	Isocitrate DeHydrogenase	1083	Lipid metabolism-coding genes
IDH2	3.11510695167453	0.0748873291065175	0.105906676472335	YOR136W	S000005662	ORF	580250	581359	1	1110	XV	Isocitrate DeHydrogenase	1110	Lipid metabolism-coding genes
IDP3	2.44571659882146	0.109461246331267	0.15480157911594	YNL009W	S000004954	ORF	614821	616083	1	1263	XIV	Isocitrate Dehydrogenase, NADP-dependent	1263	Lipid metabolism-coding genes
IFA38	2.34604978592623	0.243787454426233	0.344767524385991	YBR159W	S000000363	ORF	558685	559728	1	1044	II		1044	Lipid metabolism-coding genes
INO1	2.76339267842505	0.0951786878694953	0.134602991233916	YJL153C	S000003689	ORF	134332	135933	-1	1602	X	INOsitol requiring	1602	Lipid metabolism-coding genes
IRC25	2.36516481019728	0.0668016323007554	0.0944717743883889	YLR021W	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540	Proteostasis-coding genes
ISA2	2.21572117117576	0.0401073815007058	0.0567204028695699	YPR067W	S000006271	ORF	682220	682777	1	558	XVI	Iron Sulfur Assembly	558	Lipid metabolism-coding genes
ISM1	2.21375679677541	0.0972219577558029	0.137492611218721	YPL040C	S000005961	ORF	475993	479001	-1	3009	XVI	Isoleucyl tRNA Synthetase of Mitochondria	3009	Lipid metabolism-coding genes
ISU1	3.20279517659799	0.216117199627406	0.305635874775171	YPL135W	S000006056	ORF	297553	298050	1	498	XVI	IScU homolog	498	Lipid metabolism-coding genes
IZH2	2.5255206939701	0.25169754219559	0.355954077788977	YOL002C	S000005362	ORF	323411	324364	-1	954	XV	Implicated in Zinc Homeostasis	954	Lipid metabolism-coding genes
IZH4	3.08270510972632	0.292853469311287	0.414157348088035	YOL101C	S000005461	ORF	126982	127920	-1	939	XV	Implicated in Zinc Homeostasis	939	Lipid metabolism-coding genes
JAC1	2.04493561699658	0.00920408810635842	0.013016546229289	YGL018C	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	Lipid metabolism-coding genes
KAR2	2.78644808225332	0.171755974766289	0.242899628933097	YJL034W	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	Proteostasis-coding genes
LAT1	2.73565701166971	0.00816609526121037	0.0115486026700344	YNL071W	S000005015	ORF	491523	492971	1	1449	XIV		1449	Lipid metabolism-coding genes
MDH1	2.28250755116607	0.0452171020484289	0.0639466389680964	YKL085W	S000001568	ORF	279123	280127	1	1005	XI	Malate DeHydrogenase	1005	Lipid metabolism-coding genes
MDH3	3.13979842923902	0.0256158617978401	0.0362262991663804	YDL078C	S000002236	ORF	315357	316388	-1	1032	IV	Malate DeHydrogenase	1032	Lipid metabolism-coding genes
MDJ1	2.84968558583358	0.0166018081244323	0.0234785022094881	YFL016C	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	Lipid metabolism-coding genes
MGA2	2.48878750717586	0.119247650639914	0.168641644816095	YIR033W	S000001472	ORF	416124	419465	1	3342	IX	Multicopy suppressor of GAm1 (snf2)	3342	Lipid metabolism-coding genes
MGR2	3.35670809582449	0.447762674625149	0.633232047179336	YPL098C	S000006019	ORF	364386	364727	-1	342	XVI	Mitochondrial Genome Required	342	Proteostasis-coding genes
MOT3	2.51848452053318	0.146553556386126	0.207258027055269	YMR070W	S000004674	ORF	409154	410626	1	1473	XIII	Modifier of Transcription	1473	Lipid metabolism-coding genes
MSF1	2.86570136355565	0.027256162365916	0.0385460344761215	YPR047W	S000006251	ORF	657529	658938	1	1410	XVI	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	1410	Lipid metabolism-coding genes
MSS2	2.56785214363274	0.0523931314513712	0.0740950770737256	YDL107W	S000002265	ORF	268921	269976	1	1056	IV	Mitochondrial Splicing	1056	Lipid metabolism-coding genes
MZM1	2.17848229585774	0.114570512357736	0.162027172424345	YDR493W	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372	Lipid metabolism-coding genes
NAP1	5.06486128072014	0.536692448912953	0.758997740075927	YKR048C	S000001756	ORF	525387	526640	-1	1254	XI	Nucleosome Assembly Protein	1254	Proteostasis-coding genes
NCP1	2.29624982479018	0.0794585830320153	0.112371405770825	YHR042W	S000001084	ORF	190543	192618	1	2076	VIII	NADP-Cytochrome P450 reductase	2076	Lipid metabolism-coding genes
NDI1	2.81001829715825	0.044314667609729	0.0626704039457345	YML120C	S000004589	ORF	28266	29807	-1	1542	XIII	NADH Dehydrogenase Internal	1542	Lipid metabolism-coding genes
OLE1	2.12325448090736	0.00691406581912846	0.0097779656525517	YGL055W	S000003023	ORF	398628	400160	1	1533	VII	OLEic acid requiring	1533	Lipid metabolism-coding genes
OPI10	3.45864065844143	0.24063530041692	0.340309705435333	YOL032W	S000005392	ORF	265429	266169	1	741	XV	OverProducer of Inositol	741	Lipid metabolism-coding genes
OPI3	3.48867644350492	2.97613121142959e-05	4.20888512260559e-05	YJR073C	S000003834	ORF	572315	572935	-1	621	X	OverProducer of Inositol	621	Lipid metabolism-coding genes
ORM2	4.12480433675711	0.184736763485867	0.261257236390624	YLR350W	S000004342	ORF	828730	829380	1	651	XII		651	Proteostasis-coding genes
OTU1	2.37339172333999	0.131664124209024	0.186201190134378	YFL044C	S000001850	ORF	44655	45560	-1	906	VI	Ovarian TUmor	906	Proteostasis-coding genes
PAM16	2.173894310285	0.136095162538534	0.192467624635366	YJL104W	S000003640	ORF	227327	227776	1	450	X	Presequence translocase-Associated Motor	450	Proteostasis-coding genes
PAM18	2.25116274852029	0.066756145873236	0.094407446865687	YLR008C	S000003998	ORF	165577	166083	-1	507	XII	Presequence translocase-Associated Motor	507	Proteostasis-coding genes
PCD1	2.36138919216413	0.283084684522146	0.400342200151327	YLR151C	S000004141	ORF	441715	442737	-1	1023	XII	Peroxisomal Coenzyme A Diphosphatase	1023	Lipid metabolism-coding genes
PDA1	2.54615139482142	0.0786151717037789	0.111178642031774	YER178W	S000000980	ORF	546817	548079	1	1263	V	Pyruvate Dehydrogenase Alpha	1263	Lipid metabolism-coding genes
PDB1	2.96202720346252	0.0998538090965029	0.141214611078888	YBR221C	S000000425	ORF	665153	666253	-1	1101	II	Pyruvate Dehydrogenase Beta subunit	1101	Lipid metabolism-coding genes
PDI1	2.92869041082418	0.112238641912414	0.158729409614873	YCL043C	S000000548	ORF	48653	50221	-1	1569	III	Protein Disulfide Isomerase	1569	Proteostasis-coding genes
PEP4	3.93150603714858	0.0828473832253769	0.117163892964449	YPL154C	S000006075	ORF	259714	260931	-1	1218	XVI	carboxyPEPtidase Y-deficient	1218	Autophagy-coding genes
PET100	2.2048780253375	0.123000814294852	0.173949419758714	YDR079W	S000002486	ORF	603064	603399	1	336	IV	PETite colonies	336	Proteostasis-coding genes
PHB1	2.23974567901659	0.175511563251879	0.24821083310411	YGR132C	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	Proteostasis-coding genes
PHB2	3.20979280149094	0.187283318113636	0.264858608482539	YGR231C	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	Proteostasis-coding genes
PHO86	2.23211131870409	0.0862777971831634	0.122015230908105	YJL117W	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936	Proteostasis-coding genes
PIM1	2.24110371932858	0.0631436623579891	0.0892986236845756	YBL022C	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	Lipid metabolism-coding genes
PKP1	2.80105084520998	0.0811871787540748	0.114816009284821	YIL042C	S000001304	ORF	275108	276292	-1	1185	IX	Protein Kinase of PDH	1185	Lipid metabolism-coding genes
PLB2	2.07242716110082	0.0209907289733668	0.0296853735982333	YMR006C	S000004608	ORF	277561	279681	-1	2121	XIII	PhosphoLipase B	2121	Lipid metabolism-coding genes
PMT1	2.5294031394644	0.0479822826555751	0.0678571948851337	YDL095W	S000002253	ORF	287059	289512	1	2454	IV	Protein O-MannosylTransferase	2454	Proteostasis-coding genes
POT1	3.20850209212166	0.139332510972965	0.197045926697465	YIL160C	S000001422	ORF	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	1254	Lipid metabolism-coding genes
POX1	2.51526723711918	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247	Lipid metabolism-coding genes
PPX1	2.44580594212447	0.068902603650036	0.0974429965646988	YHR201C	S000001244	ORF	499950	501143	-1	1194	VIII		1194	Lipid metabolism-coding genes
PTC2	3.56292982779225	1.32738903738441	1.8772115792144	YER089C	S000000891	ORF	335946	337340	-1	1395	V	Phosphatase Two C	1395	Proteostasis-coding genes
PUT1	3.22455824520892	0.219038727516572	0.309767539138881	YLR142W	S000004132	ORF	425186	426616	1	1431	XII	Proline UTilization	1431	Lipid metabolism-coding genes
PXA1	2.34571702165685	0.122057949166682	0.172616007106968	YPL147W	S000006068	ORF	273255	275867	1	2613	XVI	PeroXisomal ABC-transporter	2613	Lipid metabolism-coding genes
PXA2	2.29227531408515	0.0739637887089721	0.104600593116726	YKL188C	S000001671	ORF	86225	88786	-1	2562	XI	PeroXisomal ABC-transporter	2562	Lipid metabolism-coding genes
RPL5	3.27883855095373	0.330977202810979	0.468072449051597	YPL131W	S000006052	ORF	303121	304014	1	894	XVI	Ribosomal Protein of the Large subunit	894	Proteostasis-coding genes
RRI1	2.13925545162664	0.00374659869526983	0.00529849068761994	YDL216C	S000002375	ORF	68997	70319	-1	1323	IV	Regulator of Rub1 specific Isopeptidase	1323	Lipid metabolism-coding genes
RTN1	2.87156000494014	0.0881537318257564	0.124668203121785	YDR233C	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888	Proteostasis-coding genes
RTT106	2.17495224444793	0.0565295961533756	0.0799449215555777	YNL206C	S000005150	ORF	256788	258155	-1	1368	XIV	Regulator of Ty1 Transposition	1368	Proteostasis-coding genes
SAH1	4.05857459406878	0.409268335768122	0.578792831093144	YER043C	S000000845	ORF	235770	237119	-1	1350	V	S-Adenosyl-l-Homocysteine hydrolase	1350	Lipid metabolism-coding genes
SBA1	6.04426171449253	0.298794019793184	0.422558555147495	YKL117W	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651	Proteostasis-coding genes
SCS3	2.5906708586508	0.0103566082315485	0.0146464558212407	YGL126W	S000003094	ORF	270997	272139	1	1143	VII	Suppressor of Choline Sensitivity	1143	Lipid metabolism-coding genes
SEC17	3.78117134065255	0.00623388964928884	0.00881605128836153	YBL050W	S000000146	ORF	125125	126119	1	995	II	SECretory	995	Autophagy-coding genes
