SGD_name	Genes	Yeast_species	Feature	Feature_definition	Length	Condition
S000005075	YNL131W	S. cerevisiae	TOM22	Translocase of the Outer Mitochondrial membrane	459	Proteostasis-coding genes
S000005097	YNL153C	S. cerevisiae	GIM3	Gene Involved in Microtubule biogenesis	390	Proteostasis-coding genes
S000005122	YNL178W	S. cerevisiae	RPS3	Ribosomal Protein of the Small subunit	723	Proteostasis-coding genes
S000005150	YNL206C	S. cerevisiae	RTT106	Regulator of Ty1 Transposition	1368	Proteostasis-coding genes
S000005190	YNL246W	S. cerevisiae	VPS75	Vacuolar Protein Sorting	890	Proteostasis-coding genes
S000005203	YNL259C	S. cerevisiae	ATX1	AnTioXidant	222	Proteostasis-coding genes
S000005259	YNL315C	S. cerevisiae	ATP11	ATP synthase	957	Proteostasis-coding genes
S000005272	YNL328C	S. cerevisiae	MDJ2	Mitochondrial DnaJ homolog	441	Proteostasis-coding genes
S000005300	YNR017W	S. cerevisiae	TIM23	Translocase of the Inner Mitochondrial membrane	669	Proteostasis-coding genes
S000005391	YOL031C	S. cerevisiae	SIL1	Suppressor of the Ire1/Lhs1 double mutant	1266	Proteostasis-coding genes
S000005448	YOL088C	S. cerevisiae	MPD2	Multicopy suppressor of PDI1 deletion	834	Proteostasis-coding genes
S000005571	YOR045W	S. cerevisiae	TOM6	Translocase of the Outer Mitochondrial membrane	186	Proteostasis-coding genes
S000005758	YOR232W	S. cerevisiae	MGE1	Mitochondrial GrpE	687	Proteostasis-coding genes
S000005823	YOR297C	S. cerevisiae	TIM18	Translocase of the Inner Mitochondrial membrane	579	Proteostasis-coding genes
S000005940	YPL019C	S. cerevisiae	VTC3	Vacuolar Transporter Chaperone	2508	Proteostasis-coding genes
S000005984	YPL063W	S. cerevisiae	TIM50	Translocase of the Inner Mitochondrial membrane	1431	Proteostasis-coding genes
S000006019	YPL098C	S. cerevisiae	MGR2	Mitochondrial Genome Required	342	Proteostasis-coding genes
S000006027	YPL106C	S. cerevisiae	SSE1	Stress Seventy subfamily E	2082	Proteostasis-coding genes
S000006052	YPL131W	S. cerevisiae	RPL5	Ribosomal Protein of the Large subunit	894	Proteostasis-coding genes
S000006228	YPR024W	S. cerevisiae	YME1	Yeast Mitochondrial Escape	2244	Proteostasis-coding genes
S000007256	YEL020W-A	S. cerevisiae	TIM9	Translocase of the Inner Mitochondrial membrane	264	Proteostasis-coding genes
S000007348	YJR135W-A	S. cerevisiae	TIM8	Translocase of the Inner Mitochondrial membrane	264	Proteostasis-coding genes
